,icd9_code,diagnoses_short_title,diagnoses_long_title,procedure_short_title,procedure_long_title
766,8442,Sprain cruciate lig knee,Sprain of cruciate ligament of knee,Fit lo arm/hand prosthes,Fitting of prosthesis of lower arm and hand
767,8443,Sprain super tibiofibula,"Sprain of tibiofibular (joint) (ligament) superior, of knee",Fit arm prosthesis NOS,"Fitting of prosthesis of arm, not otherwise specified"
768,7599,Congenital anomaly NOS,"Congenital anomaly, unspecified",Obstetric operation NEC,Other obstetric operations
769,7601,Matern urine dis aff NB,Maternal renal and urinary tract diseases affecting fetus or newborn,Facial bone sequestrect,Sequestrectomy of facial bone
770,7609,Maternal cond NOS aff NB,Unspecified maternal condition affecting fetus or newborn,Facial bone incision NEC,Other incision of facial bone
771,7611,Premat rupt memb aff NB,Premature rupture of membranes affecting fetus or newborn,Facial bone biopsy,Biopsy of facial bone
772,7619,Matern compl NOS aff NB,Unspecified maternal complication of pregnancy affecting fetus or newborn,Facial bone dx proc NEC,Other diagnostic procedures on facial bones and joints
773,7631,Malpos/dispro NEC aff NB,"Other malpresentation, malposition, and disproportion during labor and delivery affecting fetus or newborn",Partial mandibulectomy,Partial mandibulectomy
774,7639,Compl deliv NOS aff NB,Unspecified complication of labor and delivery affecting fetus or newborn,Part facial ostectom NEC,Partial ostectomy of other facial bone
775,8361,Tear lat menisc knee-cur,"Tear of lateral cartilage or meniscus of knee, current",Tendon sheath suture,Suture of tendon sheath
776,8362,Tear meniscus NEC-curren,"Other tear of cartilage or meniscus of knee, current",Delayed tendon suture,Delayed suture of tendon
777,8363,Dislocat patella-closed,"Dislocation of patella, closed",Rotator cuff repair,Rotator cuff repair
778,8364,Dislocation patella-open,"Dislocation of patella, open",Other suture of tendon,Other suture of tendon
779,8371,Dislocation ankle-open,Open dislocation of ankle,Tendon advancement,Advancement of tendon
780,7078,Chronic skin ulcer NEC,Chronic ulcer of other specified sites,Vag susp/fix w grft/pros,Vaginal suspension and fixation with graft or prosthesis
781,7079,Chronic skin ulcer NOS,Chronic ulcer of unspecified site,Vaginal repair NEC,Other repair of vagina
782,7091,Vascular disord of skin,Vascular disorders of skin,Vaginal operation NEC,Other operations on vagina
783,7092,Scar & fibrosis of skin,Scar conditions and fibrosis of skin,Cul-de-sac operation NEC,Other operations on cul-de-sac
784,7093,Degenerative skin disord,Degenerative skin disorders,Cul-de-sac grf/pros NEC,Other operations on cul-de-sac with graft or prosthesis
785,7094,Foreign body granul-skin,Foreign body granuloma of skin and subcutaneous tissue,Insert biological graft,Insertion of biological graft
786,7101,Systemic sclerosis,Systemic sclerosis,Vulvar adhesiolysis,Lysis of vulvar adhesions
787,7109,Diff connect tis dis NOS,Unspecified diffuse connective tissue disease,Incis vulva/perineum NEC,Other incision of vulva and perineum
788,7562,Cervical rib,Cervical rib,Repair ob lac rect/anus,Repair of current obstetric laceration of rectum and sphincter ani
789,7569,Musculoskel anom NEC/NOS,Other and unspecified anomalies of musculoskeletal system,Repair ob laceration NEC,Repair of other current obstetric laceration
790,7591,Adrenal gland anomaly,Anomalies of adrenal gland,Evac ob inc hemat perin,Evacuation of obstetrical incisional hematoma of perineum
791,7592,Endocrine anomaly NEC,Anomalies of other endocrine glands,Evac ob hemat vulva/vag,Evacuation of other hematoma of vulva or vagina
792,7593,Situs inversus,Situs inversus,Surg corr invert uterus,Surgical correction of inverted uterus
793,7594,Conjoined twins,Conjoined twins,Man replac invert uterus,Immediate postpartum manual replacement of inverted uterus
794,7171,Derang ant med meniscus,Derangement of anterior horn of medial meniscus,Suture vulvar laceration,Suture of laceration of vulva or perineum
795,7172,Derang post med meniscus,Derangement of posterior horn of medial meniscus,Repair vulvar fistula,Repair of fistula of vulva or perineum
796,7707,Perinatal chr resp dis,Chronic respiratory disease arising in the perinatal period,Tibia/fibula sequestrec,"Sequestrectomy, tibia and fibula"
797,8020,Nasal bone fx-closed,Closed fracture of nasal bones,Arthroscopy NOS,"Arthroscopy, unspecified site"
798,8021,Nasal bone fx-open,Open fracture of nasal bones,Shoulder arthroscopy,"Arthroscopy, shoulder"
799,8024,Fx malar/maxillary-close,Closed fracture of malar and maxillary bones,Hand & finger arthroscop,"Arthroscopy, hand and finger"
800,8025,Fx malar/maxillary-open,Open fracture of malar and maxillary bones,Hip arthroscopy,"Arthroscopy, hip"
801,8026,Fx orbital floor-closed,Closed fracture of orbital floor (blow-out),Knee arthroscopy,"Arthroscopy, knee"
802,8027,Fx orbital floor-open,Open fracture of orbital floor (blow-out),Ankle arthroscopy,"Arthroscopy, ankle"
803,8028,Fx facial bone NEC-close,Closed fracture of other facial bones,Foot & toe arthroscopy,"Arthroscopy, foot and toe"
804,8029,Fx facial bone NEC-open,Open fracture of other facial bones,Arthroscopy NEC,"Arthroscopy, other specified sites"
805,8601,Traum pneumothorax-open,Traumatic pneumothorax with open wound into thorax,Aspiration skin & subq,Aspiration of skin and subcutaneous tissue
806,8602,Traum hemothorax-closed,Traumatic hemothorax without mention of open wound into thorax,Skin defect tattooing,Injection or tattooing of skin lesion or defect
807,8603,Traum hemothorax-open,Traumatic hemothorax with open wound into thorax,Incision pilonidal sinus,Incision of pilonidal sinus or cyst
808,8604,Traum pneumohemothor-cl,Traumatic pneumohemothorax without mention of open wound into thorax,Other skin & subq i & d,Other incision with drainage of skin and subcutaneous tissue
809,8605,Traum pneumohemothor-opn,Traumatic pneumohemothorax with open wound into thorax,Removal fb/dev from skin,Incision with removal of foreign body or device from skin and subcutaneous tissue
810,7661,Heavy-for-date infan NEC,"Other ""heavy-for-dates"" infants",Cl osteoplasty mand rami,Closed osteoplasty [osteotomy] of mandibular ramus
811,7670,Cerebral hem at birth,Subdural and cerebral hemorrhage,Reduction facial fx NOS,"Reduction of facial fracture, not otherwise specified"
812,7672,Clavicle fx at birth,Fracture of clavicle due to birth trauma,Opn reduct malar/zygo fx,Open reduction of malar and zygomatic fracture
813,7673,Bone injury NEC at birth,Other injuries to skeleton due to birth trauma,Cl reduct maxillary fx,Closed reduction of maxillary fracture
814,7674,Spinal cord inj at birth,Injury to spine and spinal cord due to birth trauma,Open reduct maxillary fx,Open reduction of maxillary fracture
815,7675,Facial nerve inj-birth,Facial nerve injury due to birth trauma,Cl reduct mandible fx,Closed reduction of mandibular fracture
816,7676,Brach plexus inj-birth,Injury to brachial plexus due to birth trauma,Open reduct mandible fx,Open reduction of mandibular fracture
817,7677,Nerve inj NEC at birth,Other cranial and peripheral nerve injuries due to birth trauma,Open reduct alveolar fx,Open reduction of alveolar fracture
818,7678,Birth trauma NEC,Other specified birth trauma,Cl reduct facial fx NEC,Other closed reduction of facial fracture
819,7679,Birth trauma NOS,"Birth trauma, unspecified",Open reduct face fx NEC,Other open reduction of facial fracture
820,769,Respiratory distress syn,Respiratory distress syndrome in newborn,Total exc pituitary NOS,"Total excision of pituitary gland, unspecified approach"
821,7700,Congenital pneumonia,Congenital pneumonia,Sequestrectomy NOS,"Sequestrectomy, unspecified site"
822,7702,NB interstit emphysema,Interstitial emphysema and related conditions,Humerus sequestrectomy,"Sequestrectomy, humerus"
823,7703,NB pulmonary hemorrhage,Pulmonary hemorrhage,Radius & ulna sequestrec,"Sequestrectomy, radius and ulna"
824,7704,Primary atelectasis,Primary atelectasis,Metacarp/carp sequestrec,"Sequestrectomy, carpals and metacarpals"
825,7705,NB atelectasis NEC/NOS,Other and unspecified atelectasis,Femoral sequestrectomy,"Sequestrectomy, femur"
826,7706,NB transitory tachypnea,Transitory tachypnea of newborn,Patellar sequestrectomy,"Sequestrectomy, patella"
827,8448,Sprain of knee & leg NEC,Sprains and strains of other specified sites of knee and leg,Implant leg prosthesis,Implantation of prosthetic device of leg
828,8460,Sprain lumbosacral,Sprain of lumbosacral (joint) (ligament),Insert disc pros NOS,"Insertion of spinal disc prosthesis, not otherwise specified"
829,8461,Sprain sacroiliac,Sprain of sacroiliac ligament,Ins part disc pros cerv,"Insertion of partial spinal disc prosthesis, cervical"
830,8462,Sprain sacrospinatus,Sprain of sacrospinatus (ligament),Ins tot disc prost cerv,"Insertion of total spinal disc prosthesis, cervical"
831,8463,Sprain sacrotuberous,Sprain of sacrotuberous (ligament),Ins spin disc pros thor,"Insertion of spinal disc prosthesis, thoracic"
832,8468,Sprain sacroiliac NEC,Sprain of other specified sites of sacroiliac region,Revise disc prosth lumb,"Revision or replacement of artificial spinal disc prosthesis, lumbosacral"
833,8469,Sprain sacroiliac NOS,Sprain of unspecified site of sacroiliac region,Revise disc prosth NOS,"Revision or replacement of artificial spinal disc prosthesis, not otherwise specified"
834,8471,Sprain thoracic region,Sprain of thoracic,App ext fix dev-monoplan,"Application of external fixator device, monoplanar system"
835,8472,Sprain lumbar region,Sprain of lumbar,App ext fix dev-ring sys,"Application of external fixator device, ring system"
836,8473,Sprain of sacrum,Sprain of sacrum,App hybrid ext fix dev,Application of hybrid external fixator device
837,8480,Sprain of nasal septum,Sprain of septal cartilage of nose,Ins/repl interspine dev,Insertion or replacement of interspinous process device(s)
838,8481,Sprain of jaw,Sprain of jaw,Rev interspine device,Revision of interspinous process device(s)
839,8482,Sprain of thyroid region,Sprain of thyroid region,Ins/repl pdcl stabil dev,Insertion or replacement of pedicle-based dynamic stabilization device(s)
840,8483,Sprain of ribs,Sprain of ribs,Rev pedcl dyn stabil dev,Revision of pedicle-based dynamic stabilization device(s)
841,8485,Sprain of pelvis,Sprain of pelvic,Rev facet replace device,Revision of facet replacement device(s)
842,7784,NB temp regulat dis NEC,Other disturbances of temperature regulation of newborn,Part ostect-metacar/car,"Other partial ostectomy, carpals and metacarpals"
843,7785,Edema of newborn NEC/NOS,Other and unspecified edema of newborn,Part ostectomy-femur,"Other partial ostectomy, femur"
844,7786,Congenital hydrocele,Congenital hydrocele,Partial patellectomy,"Other partial ostectomy, patella"
845,7787,NB breast engorgement,Breast engorgement in newborn,Part ostect-tibia/fibula,"Other partial ostectomy, tibia and fibula"
846,7788,NB integument cond NEC,Other specified conditions involving the integument of fetus and newborn,Part ostect-metatar/tar,"Other partial ostectomy, tarsals and metatarsals"
847,7789,NB integument cond NOS,Unspecified condition involving the integument and temperature regulation of fetus and newborn,Partial ostectomy NEC,"Other partial ostectomy, other bones"
848,7790,Convulsions in newborn,Convulsions in newborn,Total ostectomy NOS,"Total ostectomy, unspecified site"
849,7791,NB cereb irrit NEC/NOS,Other and unspecified cerebral irritability in newborn,Tot chest cage ostectomy,"Total ostectomy, scapula, clavicle, and thorax [ribs and sternum]"
850,7792,Cns dysfunction syn NB,"Cerebral depression, coma, and other abnormal cerebral signs in fetus or newborn",Total ostectomy-humerus,"Total ostectomy, humerus"
851,7794,NB drug reaction/intoxic,Drug reactions and intoxications specific to newborn,Tot ostect-metacarp/carp,"Total ostectomy, carpals and metacarpals"
852,7795,NB drug withdrawal syndr,Drug withdrawal syndrome in newborn,Tot ostectomy-femur,"Total ostectomy, femur"
853,7796,Termination of pregnancy,Termination of pregnancy (fetus),Total patellectomy,"Total ostectomy, patella"
854,7797,Perivent leukomalacia,Periventricular leukomalacia,Tot ostect-tibia/fibula,"Total ostectomy, tibia and fibula"
855,7799,Perinatal condition NOS,Unspecified condition originating in the perinatal period,Total ostectomy NEC,"Total ostectomy, other bones"
856,7801,Hallucinations,Hallucinations,Bone graft to chest cage,"Bone graft, scapula, clavicle, and thorax [ribs and sternum]"
857,7802,Syncope and collapse,Syncope and collapse,Bone graft to humerus,"Bone graft, humerus"
858,7804,Dizziness and giddiness,Dizziness and giddiness,Bone grft to metacar/car,"Bone graft, carpals and metacarpals"
859,7808,Generalizd hyperhidrosis,Generalized hyperhidrosis,Bone graft-metatar/tar,"Bone graft, tarsals and metatarsals"
860,7810,Abn involun movement NEC,Abnormal involuntary movements,Applic ext fix dev NOS,"Application of external fixator device, unspecified site"
861,7811,Smell & taste disturb,Disturbances of sensation of smell and taste,Appl ext fix-chest cage,"Application of external fixator device, scapula, clavicle, and thorax [ribs and sternum]"
862,7709,NB respiratory cond NOS,Unspecified respiratory condition of fetus and newborn,Sequestrectomy NEC,"Sequestrectomy, other bones"
863,7710,Congenital rubella,Congenital rubella,Other bone incision NOS,"Other incision of bone without division, unspecified site"
864,7711,Cong cytomegalovirus inf,Congenital cytomegalovirus infection,Other chest cage incis,"Other incision of bone without division, scapula, clavicle, and thorax [ribs and sternum]"
865,7712,Congenital infec NEC,Other congenital infections specific to the perinatal period,Other humerus incision,"Other incision of bone without division, humerus"
866,7713,Tetanus neonatorum,Tetanus neonatorum,Other radius/ulna incis,"Other incision of bone without division, radius and ulna"
867,7714,Omphalitis of newborn,Omphalitis of the newborn,Oth metacarp/carp incis,"Other incision of bone without division, carpals and metacarpals"
868,7715,Neonatal infec mastitis,Neonatal infective mastitis,Other femoral incision,"Other incision of bone without division, femur"
869,7716,Neonatal conjunctivitis,Neonatal conjunctivitis and dacryocystitis,Other patellar incision,"Other incision of bone without division, patella"
870,7717,Neonatal candida infect,Neonatal Candida infection,Other tibia/fibula incis,"Other incision of bone without division, tibia and fibula"
871,7720,NB fetal blood loss NEC,Fetal blood loss,Wedge osteotomy NOS,"Wedge osteotomy, unspecified site"
872,7722,NB subarachnoid hemorr,Subarachnoid hemorrhage of fetus or newborn,Humerus wedge osteotomy,"Wedge osteotomy, humerus"
873,7723,Post-birth umbil hemorr,Umbilical hemorrhage after birth,Radius/ulna wedg osteoto,"Wedge osteotomy, radius and ulna"
874,7724,NB GI hemorrhage,Gastrointestinal hemorrhage of fetus or newborn,Metacar/car wedg osteoto,"Wedge osteotomy, carpals and metacarpals"
875,7725,NB adrenal hemorrhage,Adrenal hemorrhage of fetus or newborn,Femoral wedge osteotomy,"Wedge osteotomy, femur"
876,7726,NB cutaneous hemorrhage,Cutaneous hemorrhage of fetus or newborn,Patellar wedge osteotomy,"Wedge osteotomy, patella"
877,7728,Neonatal hemorrhage NEC,Other specified hemorrhage of fetus or newborn,Metatar/tar wedg osteot,"Wedge osteotomy, tarsals and metatarsals"
878,7729,Neonatal hemorrhage NOS,Unspecified hemorrhage of newborn,Wedge osteotomy NEC,"Wedge osteotomy, other bones"
879,7730,NB hemolyt dis:rh isoimm,Hemolytic disease of fetus or newborn due to Rh isoimmunization,Other bone division NOS,"Other division of bone, unspecified site"
880,7731,NB hemolyt dis-abo isoim,Hemolytic disease of fetus or newborn due to ABO isoimmunization,Chest cage bone div NEC,"Other division of bone, scapula, clavicle, and thorax [ribs and sternum]"
881,7732,NB hemolyt dis-isoim NEC,Hemolytic disease of fetus or newborn due to other and unspecified isoimmunization,Humerus division NEC,"Other division of bone, humerus"
882,7733,Hydrops fetalis:isoimm,Hydrops fetalis due to isoimmunization,Radius/ulna division NEC,"Other division of bone, radius and ulna"
883,7734,NB kernicterus:isoimmun,Kernicterus of fetus or newborn due to isoimmunization,Metacar/car division NEC,"Other division of bone, carpals and metacarpals"
884,7735,NB late anemia:isoimmun,Late anemia of fetus or newborn due to isoimmunization,Femoral division NEC,"Other division of bone, femur"
885,7740,Perinat jaund-hered anem,Perinatal jaundice from hereditary hemolytic anemias,Bone biopsy NOS,"Biopsy of bone, unspecified site"
886,7741,Perinat jaund:hemolysis,Perinatal jaundice from other excessive hemolysis,Chest cage bone biopsy,"Biopsy of bone, scapula, clavicle, and thorax [ribs and sternum]"
887,7742,Neonat jaund preterm del,Neonatal jaundice associated with preterm delivery,Humerus biopsy,"Biopsy of bone, humerus"
888,7179,Int derangement knee NOS,Unspecified internal derangement of knee,Vulvar/perin repair NEC,Other repair of vulva and perineum
889,7744,Fetal/neonatal hepatitis,Perinatal jaundice due to hepatocellular damage,Metacarpal/carpal biopsy,"Biopsy of bone, carpals and metacarpals"
890,7745,Perinatal jaundice NEC,Perinatal jaundice from other causes,Femoral biopsy,"Biopsy of bone, femur"
891,7746,Fetal/neonatal jaund NOS,Unspecified fetal and neonatal jaundice,Patellar biopsy,"Biopsy of bone, patella"
892,7747,NB kernicterus,Kernicterus of fetus or newborn not due to isoimmunization,Tibia & fibula biopsy,"Biopsy of bone, tibia and fibula"
893,7751,Neonat diabetes mellitus,Neonatal diabetes mellitus,Bunionect/sft/osteotomy,Bunionectomy with soft tissue correction and osteotomy of the first metatarsal
894,7752,Neonat myasthenia gravis,Neonatal myasthenia gravis,Bunionect/sft/arthrodes,Bunionectomy with soft tissue correction and arthrodesis
895,7753,Neonatal thyrotoxicosis,Neonatal thyrotoxicosis,Oth bunionect w sft corr,Other bunionectomy with soft tissue correction
896,7754,Hypocalcem/hypomagnes NB,Hypocalcemia and hypomagnesemia of newborn,Exc correct bunionette,Excision or correction of bunionette
897,7756,Neonatal hypoglycemia,Neonatal hypoglycemia,Repair of hammer toe,Repair of hammer toe
898,7757,Late metab acidosis NB,Late metabolic acidosis of newborn,Repair of claw toe,Repair of claw toe
899,7759,Transient met dis NB NOS,Unspecified endocrine and metabolic disturbances specific to the fetus and newborn,Bunionectomy NEC,Other bunionectomy
900,7760,NB hemorrhagic disease,Hemorrhagic disease of newborn,Loc exc bone lesion NOS,"Local excision of lesion or tissue of bone, unspecified site"
901,7761,Neonatal thrombocytopen,Transient neonatal thrombocytopenia,Exc chest cage bone les,"Local excision of lesion or tissue of bone, scapula, clavicle, and thorax [ribs and sternum]"
902,7762,Dissem intravasc coag NB,Disseminated intravascular coagulation in newborn,Loc exc bone les humerus,"Local excision of lesion or tissue of bone, humerus"
903,7763,Oth neonatal coag dis,Other transient neonatal disorders of coagulation,Loc exc les radius/ulna,"Local excision of lesion or tissue of bone, radius and ulna"
904,7764,Polycythemia neonatorum,Polycythemia neonatorum,Loc exc les metacar/car,"Local excision of lesion or tissue of bone, carpals and metacarpals"
905,7765,Congenital anemia,Congenital anemia,Loc exc bone les femur,"Local excision of lesion or tissue of bone, femur"
906,7766,Anemia of prematurity,Anemia of prematurity,Loc exc bone les patella,"Local excision of lesion or tissue of bone, patella"
907,7767,Neonatal neutropenia,Transient neonatal neutropenia,Loc exc les tibia/fibula,"Local excision of lesion or tissue of bone, tibia and fibula"
908,7768,Transient hemat dis NEC,Other specified transient hematological disorders of fetus or newborn,Loc exc les metatar/tar,"Local excision of lesion or tissue of bone, tarsals and metatarsals"
909,7769,NB hematological dis NOS,Unspecified hematological disorder specific to newborn,Loc exc bone lesion NEC,"Local excision of lesion or tissue of bone, other bones"
910,7771,Meconium obstruction,Meconium obstruction in fetus or newborn,Ex chest cage bone-gft,"Excision of bone for graft, scapula, clavicle, and thorax [ribs and sternum]"
911,7772,Intest obst-inspiss milk,Intestinal obstruction in newborn due to inspissated milk,Excise humerus for graft,"Excision of bone for graft, humerus"
912,7773,Swallowed blood syndrome,Hematemesis and melena of newborn due to swallowed maternal blood,Excis radius/ulna-graft,"Excision of bone for graft, radius and ulna"
913,7774,Transitory ileus of NB,Transitory ileus of newborn,Excis metacar/car-graft,"Excision of bone for graft, carpals and metacarpals"
914,7776,Perinatal intest perfor,Perinatal intestinal perforation,Excise patella for graft,"Excision of bone for graft, patella"
915,7778,Perinat GI sys dis NEC,Other specified perinatal disorders of digestive system,Excis metatar/tar-graft,"Excision of bone for graft, tarsals and metatarsals"
916,7779,Perinat GI sys dis NOS,Unspecified perinatal disorder of digestive system,Excise bone for gft NEC,"Excision of bone for graft, other bones"
917,7780,Hydrops fetalis no isoim,Hydrops fetalis not due to isoimmunization,Oth part ostectomy NOS,"Other partial ostectomy, unspecified site"
918,7781,Sclerema neonatorum,Sclerema neonatorum,Oth chest cage ostectomy,"Other partial ostectomy, scapula, clavicle, and thorax [ribs and sternum]"
919,7782,NB cold injury syndrome,Cold injury syndrome of newborn,Partial humerectomy NEC,"Other partial ostectomy, humerus"
920,7783,NB hypothermia NEC,Other hypothermia of newborn,Part ostect-radius/ulna,"Other partial ostectomy, radius and ulna"
921,7891,Hepatomegaly,Hepatomegaly,Insert bone stimul-chest,"Insertion of bone growth stimulator, scapula, clavicle and thorax [ribs and sternum]"
922,7892,Splenomegaly,Splenomegaly,Insert bone stim-humerus,"Insertion of bone growth stimulator, humerus"
923,7897,Colic,Colic,Inser bone stim-tib/fib,"Insertion of bone growth stimulator, tibia and fibula"
924,7899,Abdomen/pelvis symp NEC,Other symptoms involving abdomen and pelvis,Insert bone stimul NEC,"Insertion of bone growth stimulator, other bones"
925,7901,Elevated sediment rate,Elevated sedimentation rate,Closed fx reduct humerus,"Closed reduction of fracture without internal fixation, humerus"
926,8072,Fracture of sternum-clos,Closed fracture of sternum,Elbow synovectomy,"Synovectomy, elbow"
927,8073,Fracture of sternum-open,Open fracture of sternum,Wrist synovectomy,"Synovectomy, wrist"
928,8074,Flail chest,Flail chest,Hand synovectomy,"Synovectomy, hand and finger"
929,8075,Fx larynx/trachea-closed,Closed fracture of larynx and trachea,Hip synovectomy,"Synovectomy, hip"
930,8076,Fx larynx/trachea-open,Open fracture of larynx and trachea,Knee synovectomy,"Synovectomy, knee"
931,8080,Fracture acetabulum-clos,Closed fracture of acetabulum,Destruct joint les NOS,"Other local excision or destruction of lesion of joint, unspecified site"
932,8081,Fracture acetabulum-open,Open fracture of acetabulum,Destruc-shoulder les NEC,"Other local excision or destruction of lesion of joint, shoulder"
933,8082,Fracture of pubis-closed,Closed fracture of pubis,Destruc-elbow lesion NEC,"Other local excision or destruction of lesion of joint, elbow"
934,8083,Fracture of pubis-open,Open fracture of pubis,Destruc-wrist lesion NEC,"Other local excision or destruction of lesion of joint, wrist"
935,8088,Pelvic fracture NOS-clos,Closed unspecified fracture of pelvis,Destruc-foot jt les NEC,"Other local excision or destruction of lesion of joint, foot and toe"
936,8089,Pelvic fracture NOS-open,Open unspecified fracture of pelvis,Destruct joint les NEC,"Other local excision or destruction of lesion of joint, other specified sites"
937,8090,Fracture trunk bone-clos,"Fracture of bones of trunk, closed",Excision of joint NOS,"Other excision of joint, unspecified site"
938,8091,Fracture trunk bone-open,"Fracture of bones of trunk, open",Excision of shoulder NEC,"Other excision of joint, shoulder"
939,8901,Open wnd hip/thigh-compl,"Open wound of hip and thigh, complicated",Brief interview & evalua,"Interview and evaluation, described as brief"
940,8902,Opn wnd hip/thigh w tend,"Open wound of hip and thigh, with tendon involvement",Limited interview/evalua,"Interview and evaluation, described as limited"
941,8910,Open wnd knee/leg/ankle,"Open wound of knee, leg [except thigh], and ankle, without mention of complication",Intracarot amobarb test,Intracarotid amobarbital test
942,8911,Open wnd knee/leg-compl,"Open wound of knee, leg [except thigh], and ankle, complicated",Tonometry,Tonometry
943,8912,Opn wnd knee/leg w tendn,"Open wound of knee, leg [except thigh], and ankle, with tendon involvement",Nasal function study,Nasal function study
944,8921,Open wound foot-compl,"Open wound of foot except toe(s) alone, complicated",Urinary manometry,Urinary manometry
945,8922,Open wound foot w tendon,"Open wound of foot except toe(s) alone, with tendon involvement",Cystometrogram,Cystometrogram
946,8931,Open wound toe-compl,"Open wound of toe(s), complicated",Dental examination,Dental examination
947,8932,Open wound toe w tendon,"Open wound of toe(s), with tendon involvement",Esophageal manometry,Esophageal manometry
948,8941,Open wound leg NEC-compl,"Multiple and unspecified open wound of lower limb, complicated",Treadmill stress test,Cardiovascular stress test using treadmill
949,8942,Opn wnd leg NEC w tendon,"Multiple and unspecified open wound of lower limb, with tendon involvement",Masters' 2-step test,Masters' two-step stress test
950,8950,Amputation toe,"Traumatic amputation of toe(s) (complete) (partial), without mention of complication",Ambu cardiac monitoring,Ambulatory cardiac monitoring
951,8951,Amputation toe-complicat,"Traumatic amputation of toe(s) (complete) (partial), complicated",Rhythm electrocardiogram,Rhythm electrocardiogram
952,9522,Lumbar spinal cord injur,Lumbar spinal cord injury without evidence of spinal bone injury,Electro-oculogram,Electro-oculogram [EOG]
953,9523,Sacral spinal cord injur,Sacral spinal cord injury without evidence of spinal bone injury,Visual evoked potential,Visual evoked potential [VEP]
954,9524,Cauda equina injury,Cauda equina spinal cord injury without evidence of spinal bone injury,Electronystagmogram,Electronystagmogram [ENG]
955,9531,Dorsal root injury,Injury to dorsal nerve root,Spectacle fit & dispense,Fitting and dispensing of spectacles
956,9532,Lumbar root injury,Injury to lumbar nerve root,Perscr/fit/disp contacts,"Prescription, fitting, and dispensing of contact lens"
957,9533,Sacral root injury,Injury to sacral nerve root,Oth lo vision aid dispen,Dispensing of other low vision aids
958,9534,Brachial plexus injury,Injury to brachial plexus,Ocular prosthetics,Ocular prosthetics
959,9535,Lumbosacral plex injury,Injury to lumbosacral plexus,Orthoptic training,Orthoptic training
960,9541,Inj sympath nerve NEC,"Injury to other sympathetic nerve, excluding shoulder and pelvic girdles",Audiometry,Audiometry
961,9548,Injury trunk nerve NEC,"Injury to other specified nerve(s) of trunk, excluding shoulder and pelvic girdles",Fitting of hearing aid,Fitting of hearing aid
962,9549,Injury trunk nerve NOS,"Injury to unspecified nerve of trunk, excluding shoulder and pelvic girdles",Non-op hearing proc NEC,Other nonoperative procedures related to hearing
963,9139,Suprf inj forarm NEC-inf,"Other and unspecified superficial injury of elbow, forearm, and wrist, infected",Micro exam-low urin NEC,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, other microscopic examination"
964,9141,Abrasion hand-infected,"Abrasion or friction burn of hand(s) except finger(s) alone, infected",Bact smear-female genit,"Microscopic examination of specimen from female genital tract, bacterial smear"
965,9142,Blister hand,"Blister of hand(s) except finger(s) alone, without mention of infection",Culture-female genital,"Microscopic examination of specimen from female genital tract, culture"
966,9143,Blister hand-infected,"Blister of hand(s) except finger(s) alone, infected",C & s-female genital,"Microscopic examination of specimen from female genital tract, culture and sensitivity"
967,9144,Insect bite hand,"Insect bite, nonvenomous, of hand(s) except finger(s) alone, without mention of infection",Parasitology-female gen,"Microscopic examination of specimen from female genital tract, parasitology"
968,9145,Insect bite hand-infect,"Insect bite, nonvenomous, of hand(s) except finger(s) alone, infected",Toxicology-female genit,"Microscopic examination of specimen from female genital tract, toxicology"
969,9146,Foreign body hand,"Superficial foreign body (splinter) of hand(s) except finger(s) alone, without major open wound and without mention of infection",Cell blk/pap-female gen,"Microscopic examination of specimen from female genital tract, cell block and Papanicolaou smear"
970,9149,Superf inj hand NEC-inf,"Other and unspecified superficial injury of hand(s) except finger(s) alone, infected",Micro exam-femal gen NEC,"Microscopic examination of specimen from female genital tract, other microscopic examination"
971,9151,Abrasion finger-infected,"Abrasion or friction burn of finger(s), infected",Bact smear-musculoskel,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, bacterial smear"
972,9152,Blister finger,"Blister of finger(s), without mention of infection",Culture-musculoskeletal,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture"
973,9153,Blister finger-infected,"Blister of finger(s), infected",C & s-musculoskeletal,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture and sensitivity"
974,9154,Insect bite finger,"Insect bite, nonvenomous, of finger(s), without mention of infection",Parasitology-musculoskel,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, parasitology"
975,9155,Insect bite finger-infec,"Insect bite, nonvenomous of finger(s), infected",Toxicology-musculoskel,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, toxicology"
976,9156,Foreign body finger,"Superficial foreign body (splinter) of finger(s), without major open wound and without mention of infection",Cell blk/pap-musculoskel,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, cell block and Papanicolaou smear"
977,9824,Toxic effect nitroglycol,Toxic effect of nitroglycol,Removal scrotal/penis FB,Removal of foreign body from scrotum or penis without incision
978,9828,Toxic eff nonpetrol solv,Toxic effect of other nonpetroleum-based solvents,Removal FB from foot,Removal of foreign body from foot without incision
979,9851,Toxic effect arsenic,Toxic effect of arsenic and its compounds,Eswl kid/ureter/bladder,"Extracorporeal shockwave lithotripsy [ESWL] of the kidney, ureter and/or bladder"
